id,title,latitude_and_longitude,ratings,review,type,types,type_id,address,operating_hours,phone,website,service_options,popular_for,highlights,offerings,dining_options,amenities,atmosphere,crowd,payments,parking,pets,reserve_a_table,order_online,createdAt,updatedAt
"1","Bleu Coffee","40.7219623,-74.04043709999999","4.8","309","Coffee shop","Coffee shop","coffee_shop","175 2nd St, Jersey City, NJ 07302","Closed ⋅ Opens 7 AM","(201) 614-5645","http://bleucoffee.com/","Outdoor seating; Curbside pickup; No-contact delivery; Delivery; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Brunch; Lunch; Catering; Dessert; Seating","Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly; Tourists; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","Free street parking; Paid parking lot; Usually somewhat difficult to find a space","","","https://www.google.com/viewer/chooseprovider?mid=/g/11sdb8g2lh&g2lbs=AO8LyOKE_JR_UXZUl_I1_6RJgQpH7IBDgHc_iBPNKCN1FkUL-7V9hDEnCmIOZ9r8TdVD-rmvXQYsyvAMwK85uaW5EpbNOenZhg%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"2","Blackstone Coffee Roaster","40.7332318,-74.0061638","4.7","289","Coffee shop","Coffee shop; Cafe; Deli","coffee_shop","502 Hudson St, New York, NY 10014","Closed ⋅ Opens 6 AM","(212) 989-6131","","Outdoor seating; No-contact delivery; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Lunch; Dessert; Seating","","Casual; Cozy; Trendy","","Credit cards; Debit cards; NFC mobile payments","","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11fz9kzdgv&g2lbs=AO8LyOJlnS1dxK5HfYaTqEisnJrTXx_uRDZlRUF3hrxwg4GMfkN9osa60h6I4PgpcocXgKV9JJ4PUIo-c8GuZHGmNmNVZflr0Q%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"3","Drip Drop Café, coffee shop","40.7254115,-74.002083","4.8","631","Coffee shop","Coffee shop; Art gallery; Cafe; Coffee store; Internet cafe","coffee_shop","98 Thompson St, New York, NY 10012","Closed ⋅ Opens 7 AM","","https://www.dripdrop.nyc/","Outdoor seating; No-contact delivery; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Comfort food; Prepared foods; Quick bite; Vegan options; Vegetarian options","Breakfast; Lunch; Dessert; Seating","Gender-neutral restroom; Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly; Locals; Tourists; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","","","","https://www.google.com/viewer/chooseprovider?mid=/g/11smx9yk9m&g2lbs=AO8LyOLWZcpQMN_DxaYq7cy-cwQUarO9JHDuBeSZmNUx9LAh7UIzVxReXk2Lk46AmSDXJgOoCcl2A0lPRBfM5yL9S8wRXQzJWg%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"4","Copper Mug Coffee","40.7465799,-73.98822419999999","4.8","698","Coffee shop","Coffee shop","coffee_shop","38 W 30th St, New York, NY 10001","Closed ⋅ Opens 7 AM","(646) 360-2253","http://www.thecoppermugcoffee.com/","Outdoor seating; Curbside pickup; No-contact delivery; Delivery; Onsite services; Takeout; Dine-in","Solo dining","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Dessert; Seating","","Casual; Cozy; Trendy","","Credit cards; NFC mobile payments","Paid street parking","","","https://www.google.com/viewer/chooseprovider?mid=/g/11sk04vghx&g2lbs=AO8LyOJbGbWmVqT0TDboI9aHjOCcTwarm-yUCYlwmFH3j9cGjPl-sQgQ4lNgQE2Tc8MWKBm3Tv9UhJ8iSoIGTq2A3PVvbs1GjQ%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"5","ARVACI coffee","40.754671599999995,-73.99401859999999","4.7","651","Coffee shop","Coffee shop","coffee_shop","340 W 37th St, New York, NY 10018","Closed ⋅ Opens 7 AM","(518) 709-4680","https://instagram.com/arvacicoffee","Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Dessert","Wi-Fi","Casual; Cozy; Trendy","","Credit cards; Debit cards; NFC mobile payments","Paid street parking","","","https://www.google.com/viewer/chooseprovider?mid=/g/11s16w7_08&g2lbs=AO8LyOJPr24YaecpNGXjCsqoM5ovRBzT6A0LKzgG1DoGxieb70rCbRD54BRcmEWW7nKAGO2oace7UHH_El1pLnWTRda84GXkUQ%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"6","The Lazy Llama Coffee Bar","40.7234943,-73.9886523","4.6","360","Coffee shop","Coffee shop; Cafe; Coffee store","coffee_shop","72 E 1st St, New York, NY 10003","Closed ⋅ Opens 7 AM","(646) 410-1938","","Outdoor seating; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Lunch; Dessert; Seating","Wi-Fi","Casual; Cozy; Trendy","College students","Credit cards; Debit cards; NFC mobile payments","","","","https://www.google.com/viewer/chooseprovider?mid=/g/11cjpchz0g&g2lbs=AO8LyOJxI1oURXnUrWnSAkDd50MEa7YdJyd0UbW8nBojGmliEtVn7Mn23W9_h1qoX-Hq4XnHbJywizPcrQjRASeMfbLJY1Ih6g%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"7","drip coffee makers","40.723232499999995,-74.0064671","4.7","70","Coffee shop","Coffee shop","coffee_shop","75 Varick St, New York, NY 10013","Closed ⋅ Opens 9 AM","(917) 704-6742","","Takeout; Dine-in","Solo dining","Great coffee; Great tea selection","Coffee","","","Casual; Cozy; Trendy","","Credit cards; Debit cards; NFC mobile payments","Paid street parking","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"8","Oslo Coffee Roasters (West Village)","40.7337975,-74.00546849999999","4.7","212","Coffee shop","Coffee shop","coffee_shop","236 W 10th St, New York, NY 10014","Closed ⋅ Opens 7:30 AM","(516) 355-8385","https://oslocoffee.com/","Outdoor seating; Takeout; Dine-in","Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Dessert; Seating","","Casual; Cozy; Trendy","","Credit cards; Debit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"9","Coffee Project New York | East Village","40.7270884,-73.98938199999999","4.7","779","Coffee shop","Coffee shop; Breakfast restaurant; Cafe","coffee_shop","239 E 5th St, New York, NY 10003","Closed ⋅ Opens 8 AM Sun","(212) 228-7888","https://coffeeprojectny.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_ev","Curbside pickup; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Organic dishes; Prepared foods; Quick bite; Small plates; Vegan options; Vegetarian options","Breakfast; Brunch; Lunch; Catering; Dessert; Seating","Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","College students; Family-friendly; LGBTQ+ friendly; Tourists; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","Free street parking; Paid street parking; Usually difficult to find a space","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11c3svpqld&g2lbs=AO8LyOJ5A_lYnOXDYMIAOgUiIbUsk6hyBOK-JrgJQ2poIJWq9m1CkO-43Cercd54DIaj395lG04hLvh134WWxuMiY0GtZY4Dmg%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"10","787 Coffee","40.7244179,-74.0029292","4.8","1673","Coffee shop","Coffee shop","coffee_shop","72 Thompson St, New York, NY 10012","Closed ⋅ Opens 7 AM","(917) 265-8357","http://www.787coffee.com/","Outdoor seating; Onsite services; Takeout; Dine-in","Breakfast; Solo dining","Fast service; Great coffee; Great tea selection","Alcohol; Coffee; Quick bite","Breakfast; Dessert; Seating","","Casual; Cozy; Trendy","","Credit cards; NFC mobile payments","Usually somewhat difficult to find a space","Dogs allowed outside","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
